id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6355484,"SELE - DEL, ENKRATNA PRILOŽNOST",prodaja,Hiša,Slovenj Gradec,1173.0,385000.0,2000.0,
o6355482,"SELE - DEL, ENKRATNA PRILOŽNOST",prodaja,Hiša,Slovenj Gradec,1173.0,385000.0,2000.0,
o6264954,SELE PRI POLSKAVI,prodaja,Posest,Slovenska Bistrica,6363.0,159900.0,,
o6366831,SELINE,prodaja,Posest,Dravograd,3535.0,600950.0,,
o6326914,SELLA NEVEA ITALIJA,prodaja,Stanovanje,,48.0,50000.0,1980.0,1.0
o6368059,SELNICA OB DRAVI,prodaja,Stanovanje,Selnica ob Dravi,80.0,99000.0,2003.0,2.5
o6279915,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,155.0,29000.0,1900.0,
o6292214,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,213.87,99000.0,2019.0,
o6340399,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,216.0,170000.0,2006.0,
o6363413,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,280.0,330000.0,2000.0,
o6355140,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,290.0,330000.0,2002.0,
o6328861,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,420.0,62000.0,,
o6048701,SELNICA OB DRAVI,prodaja,Hiša,Selnica ob Dravi,450.0,298000.0,1998.0,
o6328863,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,575.0,65000.0,,
o6274093,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,593.0,32000.0,,
o6247241,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,607.0,42000.0,,
o6342117,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,701.0,41900.0,,
o6288643,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,953.0,35300.0,,
o6288439,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,953.0,37.0,,
o6288437,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,1004.0,37200.0,,
o6288649,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,1004.0,37.0,,
o6325336,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,1027.0,60.0,2020.0,
o6255479,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,1274.0,45000.0,,
o6181865,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,1292.0,55000.0,,
o5985894,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,3914.0,37.0,,
o6279444,SELNICA OB DRAVI,prodaja,Posest,Selnica ob Dravi,152000.0,136800.0,,
o6287828,"SELNICA OB DRAVI, CENTER",prodaja,Posest,Selnica ob Dravi,3914.0,162724.0,,
o6362382,SELNICA OB MURI,prodaja,Hiša,Šentilj,181.0,190000.0,1987.0,
o6341771,SELNICA OB MURI,prodaja,Posest,Šentilj,809.0,17500.0,,
o6322669,SELNICA OB MURI,prodaja,Posest,Šentilj,870.0,28.0,,
o6371491,SELNICA OB MURI,prodaja,Posest,Šentilj,1327.0,24000.0,,
o6371492,SELNICA OB MURI,prodaja,Posest,Šentilj,1327.0,24000.0,,
o6307573,"SELNICA OB MURI, SONČNA LOKACIJA",prodaja,Posest,Šentilj,7656.0,15300.0,,
o6348586,"SELNICA OB MURI, UREJENO NASELJE",prodaja,Posest,Šentilj,1622.0,19900.0,,
o6343249,SELO,prodaja,Hiša,Ajdovščina,124.0,114000.0,1880.0,
o6354568,SELO,prodaja,Hiša,Moravske Toplice,220.0,36000.0,1975.0,
o5774665,SELO,prodaja,Hiša,Moravske Toplice,240.0,288000.0,2011.0,
o6261430,SELO,prodaja,Posest,Krško,300.0,220000.0,1890.0,
o6259306,SELO,prodaja,Hiša,Ajdovščina,315.0,160000.0,2017.0,
o6133792,SELO,prodaja,Posest,Moravske Toplice,1224.0,12000.0,1224.0,
o6367924,SELO,prodaja,Posest,Moravske Toplice,3152.0,24.0,,
o6125119,SELO,prodaja,Posest,Ajdovščina,4437.0,73000.0,3966.0,
o6175370,SELO,prodaja,Posest,Ajdovščina,4545.0,68000.0,,
o6370723,SELO NAD POLHOVIM GRADCEM,prodaja,Počitniški objekt,Dobrna,60.0,155000.0,1985.0,
o6285488,SELO NAD POLHOVIM GRADCEM,prodaja,Hiša,Dobrna,87.0,157000.0,1977.0,
