zacetek,konec,razdalja,cas
Ankaran/Ancarano,Križevci,276319,9794
Ankaran/Ancarano,Krško,197148,7063
Ankaran/Ancarano,Kungota,246963,8914
Ankaran/Ancarano,Kuzma,302658,11804
Ankaran/Ancarano,Laško,194772,7500
Ankaran/Ancarano,Lenart,249272,8796
Ankaran/Ancarano,Lendava/Lendva,307964,10873
Ankaran/Ancarano,Litija,142972,5699
Ankaran/Ancarano,Ljubljana,105151,4280
Ankaran/Ancarano,Ljubno,191015,7543
Ankaran/Ancarano,Ljutomer,284669,10298
Ankaran/Ancarano,Log - Dragomer,95114,3930
Ankaran/Ancarano,Logatec,79706,3049
Ankaran/Ancarano,Lovrenc na Pohorju,253191,10032
Ankaran/Ancarano,Loška dolina,102089,5324
Ankaran/Ancarano,Loški Potok,101744,4947
Ankaran/Ancarano,Lukovica,140409,5166
Ankaran/Ancarano,Luče,159236,7783
Ankaran/Ancarano,Majšperk,229067,8560
Ankaran/Ancarano,Makole,225315,8351
Ankaran/Ancarano,Maribor,232121,8472
Ankaran/Ancarano,Markovci,250149,8923
Ankaran/Ancarano,Medvode,113326,4404
Ankaran/Ancarano,Mengeš,119602,4687
Ankaran/Ancarano,Metlika,195697,7852
Ankaran/Ancarano,Mežica,216713,9830
Ankaran/Ancarano,Miklavž na Dravskem polju,228833,8007
Ankaran/Ancarano,Miren - Kostanjevica,66810,3313
Ankaran/Ancarano,Mirna,156109,5713
Ankaran/Ancarano,Mirna Peč,159146,5621
Ankaran/Ancarano,Mislinja,193036,7943
Ankaran/Ancarano,Mokronog - Trebelno,163409,6266
Ankaran/Ancarano,Moravske Toplice,290207,10530
Ankaran/Ancarano,Moravče,133218,4940
Ankaran/Ancarano,Mozirje,177557,6719
Ankaran/Ancarano,Murska Sobota,283245,10029
Ankaran/Ancarano,Muta,226951,9990
Ankaran/Ancarano,Naklo,133870,4874
Ankaran/Ancarano,Nazarje,169696,7078
Ankaran/Ancarano,Nova Gorica,89272,3632
Ankaran/Ancarano,Novo mesto,168476,6152
Ankaran/Ancarano,Odranci,291452,10471
Ankaran/Ancarano,Oplotnica,208807,7599
Ankaran/Ancarano,Ormož,266877,9951
Ankaran/Ancarano,Osilnica,153419,8332
Ankaran/Ancarano,Pesnica,238972,8344
Ankaran/Ancarano,Piran/Pirano,26991,1762
Ankaran/Ancarano,Pivka,64266,2658
Ankaran/Ancarano,Podlehnik,248562,8611
Ankaran/Ancarano,Podvelka,264184,10343
Ankaran/Ancarano,Podčetrtek,221421,8884
Ankaran/Ancarano,Poljčane,218963,7986
Ankaran/Ancarano,Polzela,168211,6090
Ankaran/Ancarano,Postojna,57888,2323
Ankaran/Ancarano,Prebold,167731,6104
Ankaran/Ancarano,Preddvor,133075,5099
Ankaran/Ancarano,Prevalje,221306,9886
Ankaran/Ancarano,Ptuj,234624,8782
Ankaran/Ancarano,Puconci,289699,10536
Ankaran/Ancarano,Radenci,272933,9794
Ankaran/Ancarano,Radeče,184169,7762
Ankaran/Ancarano,Radlje ob Dravi,232956,10324
Ankaran/Ancarano,Radovljica,148604,5354
Ankaran/Ancarano,Ravne na Koroškem,217478,9498
Ankaran/Ancarano,Razkrižje,290902,10736
Ankaran/Ancarano,Rače - Fram,224315,8200
Ankaran/Ancarano,Renče - Vogrsko,84512,3531
Ankaran/Ancarano,Rečica ob Savinji,183051,7060
Ankaran/Ancarano,Ribnica,110835,5423
Ankaran/Ancarano,Ribnica na Pohorju,274041,11041
Ankaran/Ancarano,Rogatec,224496,8990
Ankaran/Ancarano,Rogaška Slatina,217383,8642
Ankaran/Ancarano,Rogašovci,295413,11318
Ankaran/Ancarano,Ruše,240684,9221
Ankaran/Ancarano,Selnica ob Dravi,247650,9931
Ankaran/Ancarano,Semič,194000,7699
Ankaran/Ancarano,Sevnica,183931,7370
Ankaran/Ancarano,Sežana,33595,1705
Ankaran/Ancarano,Slovenija,162600,6426
Ankaran/Ancarano,Slovenj Gradec,205855,8733
Ankaran/Ancarano,Slovenska Bistrica,210496,7425
Ankaran/Ancarano,Slovenske Konjice,205265,7503
Ankaran/Ancarano,Sodražica,101246,4748
Ankaran/Ancarano,Solčava,168311,8355
Ankaran/Ancarano,Središče ob Dravi,276909,10475
Ankaran/Ancarano,Starše,231642,8278
Ankaran/Ancarano,Straža,174431,6490
Ankaran/Ancarano,Sveta Ana,257645,9298
