id,ime,maticna_stevilka,obcina,zaposleni,dobicek
5024289000,AVTOTRANSPORTI KASTELEC KASTELEC LADO S.P.,5024289000,Grosuplje,200 do 249 zaposlenih,
5708605000,"BABY CENTER, d.o.o., LjubljanaOglas",5708605000,Ljubljana,200 do 249 zaposlenih,1354597
5627079000,"BAUMULLER DRAVINJA, d.o.o.Oglas",5627079000,Slovenske Konjice,200 do 249 zaposlenih,800996
5483379000,BELIMED d.o.o.,5483379000,Grosuplje,200 do 249 zaposlenih,696642
5895871000,BIOIKS d.o.o.,5895871000,Ljubljana,200 do 249 zaposlenih,67743
5620554000,BIOPROD d.o.o.,5620554000,Ljubljana,200 do 249 zaposlenih,67924
5820570000,BOLNIŠNICA TOPOLŠICA,5820570000,Šoštanj,200 do 249 zaposlenih,
1317709000,BOSCH REXROTH d.o.o.Oglas,1317709000,Škofja Loka,200 do 249 zaposlenih,791000
5673658000,BRINOX d.o.o.,5673658000,Medvode,200 do 249 zaposlenih,2224550
5804922000,CABLEX-M d.o.o.,5804922000,Mežica,200 do 249 zaposlenih,2124066
2010356000,CELOVITE STORITVE d.o.o.,2010356000,Maribor,200 do 249 zaposlenih,55455
5049768000,CIRIUS Kamnik,5049768000,Kamnik,200 do 249 zaposlenih,
5143284000,CP PTUJ d.d.,5143284000,Ptuj,200 do 249 zaposlenih,717736
8275009000,CSD Maribor,8275009000,Maribor,200 do 249 zaposlenih,
5055792000,CUDV Črna na Koroškem,5055792000,Črna na Koroškem,200 do 249 zaposlenih,
5050758000,Center Janeza Levca Ljubljana,5050758000,Ljubljana,200 do 249 zaposlenih,
5044286000,DEM d.o.o.,5044286000,Maribor,200 do 249 zaposlenih,5126119
5328004000,DIFA d.o.o.,5328004000,Škofja Loka,200 do 249 zaposlenih,2022865
5051207000,DOM LUKAVCI,5051207000,Križevci,200 do 249 zaposlenih,
5050499000,DOM STAREJŠIH Rakičan,5050499000,Murska Sobota,200 do 249 zaposlenih,
5057078000,DOM UPOKOJENCEV NOVA GORICA,5057078000,Nova Gorica,200 do 249 zaposlenih,
5174350000,DSO Novo mesto,5174350000,Novo mesto,200 do 249 zaposlenih,
5653100000,EES SISTEMI d.o.o.,5653100000,Ljubljana,200 do 249 zaposlenih,204132
5453364000,EMO - Orodjarna d.o.o.,5453364000,Celje,200 do 249 zaposlenih,278642
5033241000,"ETIKETA, d.d.",5033241000,Žiri,200 do 249 zaposlenih,65982
3300765000,FALANGA d.o.o.,3300765000,Koper,200 do 249 zaposlenih,118666
5174503000,"FIT varovanje, d.d.",5174503000,Ljubljana,200 do 249 zaposlenih,278151
5045550000,FRAGMAT TIM d.o.o.Oglas,5045550000,Laško,200 do 249 zaposlenih,164150
5048869000,Frutarom Etol d.o.o.,5048869000,Celje,200 do 249 zaposlenih,13662260
5437822000,G4S d.o.o.,5437822000,Ljubljana,200 do 249 zaposlenih,9222
5712467000,"GORENJE GOSTINSTVO, d.o.o.",5712467000,Velenje,200 do 249 zaposlenih,743000
5042291000,"GORIČANE, d.d. MedvodeOglas",5042291000,Medvode,200 do 249 zaposlenih,1400419
5966574000,HERVIS d.o.o.,5966574000,Ljubljana,200 do 249 zaposlenih,438798
1614789000,HLEBČEK d.o.o.,1614789000,Slovenska Bistrica,200 do 249 zaposlenih,350324
5157714000,Herz d.o.o.,5157714000,Šmartno pri Litiji,200 do 249 zaposlenih,1901116
5103126000,INLES d.d.,5103126000,Ribnica,200 do 249 zaposlenih,42393
5490839000,INOTHERM d.o.o. Prev.v nem.:INOTHERM GmbH,5490839000,Ribnica,200 do 249 zaposlenih,9775516
5305306000,"INPOS, d.o.o., Celje",5305306000,Celje,200 do 249 zaposlenih,2256914
5330840000,INTERBLOCK d.d.,5330840000,Mengeš,200 do 249 zaposlenih,13813468
2168871000,ISKRA ISD - LIVARNA d.o.o.,2168871000,Kranj,200 do 249 zaposlenih,13321
5805694000,"ISOKON, d.o.o., Slovenske Konjice",5805694000,Slovenske Konjice,200 do 249 zaposlenih,2351796
5075335000,KLS LJUBNO d.o.o.,5075335000,Ljubno,200 do 249 zaposlenih,10807808
5034558000,KOLEKTOR GROUP d.o.o.,5034558000,Idrija,200 do 249 zaposlenih,11405603
2341654000,KOLEKTOR ORODJARNA d.o.o.,2341654000,Idrija,200 do 249 zaposlenih,-110747
5448743000,KOMPAS d.d.,5448743000,Ljubljana,200 do 249 zaposlenih,258308
5049679000,KOROŠKI DOM STAROSTNIKOV,5049679000,Dravograd,200 do 249 zaposlenih,
1423258000,KOVIS-LIVARNA d.o.o.Oglas,1423258000,Štore,200 do 249 zaposlenih,1172539
5129885000,"KZ METLIKA, z.o.o.",5129885000,Metlika,200 do 249 zaposlenih,60433
1913301000,"KZPS, d.o.o.",1913301000,Cerklje na Gorenjskem,200 do 249 zaposlenih,4585114
5067731000,Komunala Kranj d.o.o.,5067731000,Kranj,200 do 249 zaposlenih,-485161
5268656000,LESTRO-LEDINEK d.o.o.Oglas,5268656000,Hoče -S livnica,200 do 249 zaposlenih,2931739
2284804000,"LIP BLED, d.o.o.",2284804000,Bled,200 do 249 zaposlenih,-330365
3471187000,"LIP Bohinj, d.o.o.",3471187000,Bohinj,200 do 249 zaposlenih,1727329
5037395000,LISCA d.o.o.,5037395000,Sevnica,200 do 249 zaposlenih,4143184
5045789000,"MAGNETI LJUBLJANA, d.d., Ljubljana",5045789000,Ljubljana,200 do 249 zaposlenih,85001
5072255000,"MARJETICA KOPER, d.o.o.-s.r.l.",5072255000,Koper,200 do 249 zaposlenih,52899
5175003000,METREL d.d.,5175003000,Horjul,200 do 249 zaposlenih,3401693
